id,Name,Univ,Year,Country,Title,Advisor,Students
110319,Evgenii Prokofievich Dolzhenko,Lomonosov Moscow State University,1961,Russia,,['24407'],"['256641', '146273', '139152']"
110375,Yurii Borisovich Germeyer,Lomonosov Moscow State University,,Russia,,['24407'],['166073']
142293,Natalia Nikolaevna Kholshchevnikova,Steklov Institute of Mathematics,1976,Russia,,['24407'],[]
100281,Nikolay Petrovich Kuptsov,Lomonosov Moscow State University,1950,Russia,,['24407'],"['101288', '110317']"
93240,Mikhail Isaakovich Livshits,Lomonosov Moscow State University,1965,Russia,On Trigonometric Series Which Convergent on Subsequences of Partial Sums,['24407'],[]
110558,Valentin Anatol'evich Skvortsov,Lomonosov Moscow State University,1963,Russia,Properties of Integrals That Can Recover The Coefficients of Everywhere Convergent Trigonometric Series.,['24407'],"['141133', '140947', '141260', '140943', '188921', '140942', '140938', '141136', '141259', '140944', '141132', '140948', '140940', '162400', '140961', '140939', '140937', '116826', '140946', '141135', '140936']"
66409,Sergey Borisovich Stechkin,Lomonosov Moscow State University,1948,Russia,On the Order of Best Approximations of Continuous Functions,"['24407', '53459']","['76377', '76378', '76379', '76380', '76400', '76389', '76397', '76399', '76398', '76396', '76395', '76394', '76387', '76386', '153501', '144774', '76391', '76393', '76385', '76392', '88937', '76390', '76388']"
110374,Aleksandr Andraniki Talalyan,Steklov Institute of Mathematics,1956,Russia,On Convergence of Orthogonal Series,['24407'],"['141541', '140598', '140906', '141950', '141560', '140785', '141504', '141540', '141542']"
110559,Georgii Pavlovich Tolstov,Lomonosov Moscow State University,,Russia,,['24407'],[]
99503,Irina Andreevna Vinogradova,Steklov Institute of Mathematics,1962,Russia,On Indefinite A-Integral,['24407'],[]
211328,Stanislav Vasilyevich  Emelyanov,Institute of Control Sciences,1964,Russia,The theory of systems with variable structure,['207833'],['212557']
212558,Vadim  Utkin,Russian Academy of Sciences,1964,Russia,Variable Structure Systems and Sliding Mode Control,['207833'],"['218251', '214580']"
113320,Nikolai Pavlovich Romanov,Lomonosov Moscow State University,1936,Russia,,['36444'],"['128683', '128689', '143961']"
138748,Varujan  Atabekyan,Lomonosov Moscow State University,1987,Russia,Diagram Method and Groups with Identities,"['96715', '93533']","['235535', '164905', '193277', '215652', '158123', '158263', '235536']"
93538,Lev Dmitrievich Beklemishev,Steklov Institute of Mathematics,1992,Russia,Classification of Propositional Provability Logics,"['93533', '83475']","['168402', '94085', '168400', '95818', '95819']"
83476,Sergei Vasilievich Goryachev,Lomonosov Moscow State University,1988,Russia,On Relative Interpretability of Some Extensions of Arithmetic,"['93533', '83475']",[]
168223,Aleksandr Gennadievich Ivanov,Lomonosov Moscow State University,1984,Russia,Complexity of Recognition of an Approximate Occurrence of Words on Turing Machines,['93533'],[]
159987,Igor  Lysenok,Steklov Institute of Mathematics,1989,Russia,Algorithmic problems and quadratic equations in hyperbolic groups,['93533'],[]
168222,Gennady Semenovich Makanin,Lomonosov Moscow State University,1967,Russia,The Identity Problem in Finitely Defined Groups and Semigroups,"['13982', '93533']",[]
168563,Grigor Usikovich Oganesyan,Lomonosov Moscow State University,1979,Russia,The Word Identity and Divisibility Problems in Finitely-Defined Semigroups,['93533'],[]
164083,Yuri  Ozhigov,Lomonosov Moscow State University,1983,Russia,Two variable equations in free group,['93533'],[]
108275,Alexander Aleksandrovich Razborov,Lomonosov Moscow State University,1987,Russia,On Systems of Equations in a Free Group,['93533'],"['190221', '213376', '168633']"
163916,Nikolai  Repin,Steklov Institute of Mathematics,1984,Russia,Problems recognizing the solvability of equations in nilpotent groups,['93533'],[]
166454,Osanna  Sarkisyan,Lomonosov Moscow State University,1983,Russia,The word problem for certain classes of groups and semigroups,['93533'],[]
164081,Anna  Savushkina,Lomonosov Moscow State University,1997,Russia,Defining relations for subgroups of automorphism groups of free groups,['93533'],[]
163915,Valeriy  Shirvanyan,Steklov Institute of Mathematics,1976,Russia,Some properties of free periodic groups of odd exponent,['93533'],[]
168224,Sergey Konstantinovich Sobolev,Steklov Institute of Mathematics,1977,Russia,Decidability Problems for Propositional Calculi and Logics,['93533'],[]
163823,Alexey  Talambutsa,Steklov Institute of Mathematics,2011,Russia,Attainability of the minimal exponential growth rate in groups with periodic relations,['93533'],[]
168633,Oleg Vasilievich Verbitsky,Lomonosov Moscow State University,1994,Russia,Multi Interactive Proof Systems with a Constant Number of Rounds and Their Applications,"['93533', '108275']",[]
98102,Sofia Alexandrovna Yanovskaya,,,None,,['105688'],"['123922', '168412', '168406', '168409', '203295', '49527', '211291', '168307', '168414', '235962', '168413', '168415', '206482', '195252', '195252']"
168599,Anna Fedorovna Danil'chenko,Academy of Sciences of Moldova,1979,Moldova,Parametric Expressibility of Functions in Tree-Valued Logic,['168307'],[]
168596,Vladimir Yakovlevich Gerchiu,Steklov Institute of Mathematics,1972,Russia,Finite Approximability Problems for Superintuitionistic Propositional Logics,['168307'],[]
168598,Aleksei Yurievich Muravitskij,Academy of Sciences of Moldova,1985,Moldova,Provability Logic and Provably Intuitionistic Logic,['168307'],['168728']
168600,Ivan Semenovich Negru,Academy of Sciences of Moldova,1979,Moldova,On the Family of Ordinary Propositional Logics and Implicative Logics with One Variable,['168307'],[]
168602,Mefodij Fedorovich Ratsa,Academy of Sciences of Moldova,1968,Moldova,Functional Completeness Problems for the Logic Corresponding to Jaskowski's First Matrix,['168307'],['171863']
168728,Irina Gayanovna Simonova,Academy of Sciences of Moldova,1992,Moldova,Provably Intuitionistic Logic and Its Extensions,"['168307', '168598']",[]
168601,Aleksandr Il'ich Tsitkin,Academy of Sciences of Moldova,1979,Moldova,Inference Rules Admissible in Superintuitionistic Logics,['168307'],[]
67335,Aleksei L'vovich Semenov,Lomonosov Moscow State University,1975,Russia,On Definability in Some Decidable Theories,['113668'],"['103646', '168396', '264822', '17549']"
